Part name,Quantity,Designator,Footprint,Price (In INR),Link to buy
RaspberryPi_Pico,1,A1,RaspberryPi_Pico,384,https://robu.in/product/raspberry-pi-pico
1N4148,84,D1-D84,D_SOD-123,1.54,https://robu.in/product/1n4148-1w-zener-diode-pack-of-50
sk6812 mini-e,83,DL1-DL83,SK6812MINI-E,8.5,https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_OPSCO-Optoelectronics-SK6812MINI-E_C5149201.html
RotaryEncoder,1,EN1,RotaryEncoder_EC11E-Switch_Vertical,42,https://www.flyrobo.in/ec11-rotary-encoder-half-shaft-handle-potentiometer-15mm
oled Disply,1,J1,OLED_0.91_128x32,212,https://robu.in/product/blue-oled-display-module/
Key Switches,84,SW1-SW84,MX100H,7.3,https://www.thecosmicbyte.com/product-category/keyboard-mechanical-switches/
Keycaps,2,SW1-SW84,MX200H,999,https://amzn.in/d/0iVP38it
Kailh Hot-Swap Sockets,84,SW1-SW84,Kailh Hot-Swap Sockets (CPG151101S11),11.6,https://www.amazon.in/HEAVENGLOW-Socket-Connector-Keyboard-Switches/dp/B0H74X3QF5
Stabilizers,8,,,32,https://neomacro.in/products/cherry-pcb-mount-stabilizers-clip-in?variant=49725395239190&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
Full Case,1,,"inc. bottom, Top & plate",,3D PRINTED
PCB ,1,,JLCPCB,,
M3 heat Insert,4,,,3.6,https://robu.in/product/m3-x-6-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/
M3 Screw H-20mm,4,,,2.6,https://onlyscrews.in/products/m3-x-20mm-hex-allen-socket-head-high-tensile12-9-black-anodized-screw
