Designator,Mid X,Mid Y,Rotation,Layer
A1,372.9375,-83.885,0.0,top
D1,51.037501,-58.72,270.0,bottom
D10,222.487501,-58.72,270.0,bottom
D11,241.537501,-58.72,270.0,bottom
D12,260.587501,-58.72,270.0,bottom
D13,279.637501,-58.72,270.0,bottom
D14,298.687501,-58.72,270.0,bottom
D15,317.737501,-58.72,270.0,bottom
D16,51.037501,-77.77,270.0,bottom
D17,70.087501,-77.77,270.0,bottom
D18,89.137501,-77.77,270.0,bottom
D19,108.187501,-77.77,270.0,bottom
D2,70.087501,-58.72,270.0,bottom
D20,127.237501,-77.77,270.0,bottom
D21,146.287501,-77.77,270.0,bottom
D22,165.337501,-77.77,270.0,bottom
D23,184.387501,-77.77,270.0,bottom
D24,203.437501,-77.77,270.0,bottom
D25,222.487501,-77.77,270.0,bottom
D26,241.537501,-77.77,270.0,bottom
D27,260.587501,-77.77,270.0,bottom
D28,279.637501,-77.77,270.0,bottom
D29,308.212501,-77.77,270.0,bottom
D3,89.137501,-58.72,270.0,bottom
D30,336.787501,-77.77,270.0,bottom
D31,55.800001,-96.82,270.0,bottom
D32,79.612501,-96.82,270.0,bottom
D33,98.662501,-96.82,270.0,bottom
D34,117.712501,-96.82,270.0,bottom
D35,136.762501,-96.82,270.0,bottom
D36,155.812501,-96.82,270.0,bottom
D37,174.862501,-96.82,270.0,bottom
D38,193.912501,-96.82,270.0,bottom
D39,212.962501,-96.82,270.0,bottom
D4,108.187501,-58.72,270.0,bottom
D40,232.012501,-96.82,270.0,bottom
D41,251.062501,-96.82,270.0,bottom
D42,270.112501,-96.82,270.0,bottom
D43,289.162501,-96.82,270.0,bottom
D44,312.975001,-96.82,270.0,bottom
D45,336.787501,-96.82,270.0,bottom
D46,58.181251,-115.87,270.0,bottom
D47,84.375001,-115.87,270.0,bottom
D48,103.425001,-115.87,270.0,bottom
D49,122.475001,-115.87,270.0,bottom
D5,127.237501,-58.72,270.0,bottom
D50,141.525001,-115.87,270.0,bottom
D51,160.575001,-115.87,270.0,bottom
D52,179.625001,-115.87,270.0,bottom
D53,198.675001,-115.87,270.0,bottom
D54,217.725001,-115.87,270.0,bottom
D55,236.775001,-115.87,270.0,bottom
D56,255.825001,-115.87,270.0,bottom
D57,274.875001,-115.87,270.0,bottom
D58,305.831251,-115.87,270.0,bottom
